thi,"['0,4,0, {970, 245, 645, 991}']"
third,"['0,1,0, {204}']"
threat,"['0,1,0, {968}']"
three,"['0,1,0, {504}']"
through,"['0,2,1,{164, 487}']"
throughout,"['0,1,0, {325}']"
tight,"['0,1,0, {911}']"
time,"['0,1,0, {339}']"
to,"['0,26,7,{903, 265, 794, 671, 422, 679, 681, 426, 560, 948, 188, 575, 454, 460, 333, 208, 985, 351, 224, 738, 740, 237, 239, 623, 253, 255}']"
tool,"['0,4,1,{456, 425, 481, 895}']"
track,"['0,1,0, {957}']"
train,"['0,1,0, {231}']"
transit,"['0,2,0, {238, 183}']"
translat,"['0,1,0, {672}']"
trend,"['0,1,1,{268}']"
tri,"['0,1,0, {334}']"
troubl,"['0,1,0, {182}']"
turpin,"['0,1,0, {97}']"
two,"['0,1,0, {762}']"
uc,"['0,2,0, {1009, 822}']"
uci,"['0,9,2,{739, 165, 299, 363, 210, 820, 90, 283, 189}', '1,3,0, {128, 49, 90}']"
uid,"['1,1,0, {84}']"
undeclar,"['0,1,0, {785}']"
undergradu,"['0,2,0, {32, 18}']"
underrepres,"['0,1,0, {602}']"
univers,"['0,4,1,{928, 613, 661, 933}']"
up,"['0,1,0, {768}']"
url,"['1,2,0, {124, 45}']"
us,"['0,1,0, {3}']"
use,"['0,2,0, {226, 711}']"
user,"['0,2,0, {120, 141}']"
v1,"['1,1,0, {22}']"
valu,"['1,2,0, {74, 70}']"
variou,"['0,1,0, {595}']"
vartanov,"['0,1,0, {134}']"
vcalendar,"['1,2,0, {1, 141}']"
veidenbaum,"['0,1,1,{635}']"
veri,"['0,1,0, {789}']"
version,"['1,1,0, {2}']"
veteran,"['0,1,0, {608}']"
vevent,"['1,2,0, {139, 68}']"
video,"['0,2,1,{53, 39}']"
virtual,"['0,3,1,{280, 266, 291}']"
vision,"['0,6,3,{616, 651, 45, 686, 622, 699}']"
visit,"['0,1,0, {747}']"
vr,"['0,1,0, {335}']"
vrcade,"['0,2,1,{262, 286}']"
vrdc,"['0,2,0, {301, 295}']"
wa,"['0,1,0, {316}']"
watch,"['0,1,0, {49}']"
wear,"['0,1,0, {962}']"
web,"['0,3,1,{690, 626, 725}']"
well,"['0,1,0, {599}']"
were,"['0,1,0, {341}']"
what,"['0,1,0, {88}']"
where,"['0,1,0, {395}']"
which,"['0,3,0, {892, 764, 485}']"
who,"['0,3,0, {787, 558, 798}']"
will,"['0,4,0, {873, 458, 971, 941}']"
winter,"['0,1,0, {803}']"
with,"['0,5,0, {320, 298, 944, 913, 605}']"
within,"['0,3,0, {716, 148, 687}']"
women,"['0,1,0, {601}']"
work,"['0,5,0, {257, 67, 110, 559, 670}']"
workforc,"['0,2,0, {587, 549}']"
world,"['0,1,0, {281}']"
wr,"['1,2,0, {52, 30}']"
www,"['1,3,0, {88, 126, 47}']"
x,"['1,3,0, {51, 43, 29}']"
you,"['0,2,0, {746, 757}']"
zarat,"['0,1,0, {100}']"
zijia,"['0,1,0, {755}']"
